Country,Maximum Latitude,Minimum Latitude,Maximum Longitude,Minimum Longitude
Afghanistan,38.5,29.4,74.9,60.9
Albania,42.7,39.7,21.1,19.2
Algeria,37.1,18.9,11.9,-8.7
Andorra,42.7,42.4,1.8,1.4
Angola,-4.4,-18.0,24.1,11.7
Antigua and Barbuda,17.7,16.9,-61.6,-62.6
Argentina,-21.8,-55.0,-53.6,-73.6
Armenia,41.3,38.8,46.6,43.4
Australia,-9.2,-54.8,153.6,112.9
Austria,49.0,46.4,17.2,9.5
Azerbaijan,41.9,38.3,50.4,44.8
Bahamas,26.9,20.7,-72.0,-79.0
Bahrain,26.3,25.6,50.8,50.4
Bangladesh,26.6,20.7,92.7,88.0
Barbados,13.4,13.0,-59.4,-59.7
Belarus,56.2,51.3,32.8,23.2
Belgium,51.5,49.5,6.4,2.5
Belize,18.5,15.9,-87.2,-89.2
Benin,12.4,6.2,3.9,0.8
Bhutan,28.3,26.7,92.1,88.8
Bolivia,-9.7,-22.9,-57.5,-69.6
Bosnia and Herzegovina,45.3,42.6,19.6,15.7
Botswana,-17.8,-26.9,29.4,19.0
Brazil,5.3,-33.7,-32.4,-73.9
Brunei,5.1,4.0,115.4,114.1
Bulgaria,44.2,41.2,28.6,22.4
Burkina Faso,15.1,9.4,2.4,-5.5
Burundi,-2.3,-4.5,30.8,28.9
Cabo Verde,17.2,14.8,-22.7,-25.4
Cambodia,14.7,9.9,107.6,102.3
Cameroon,13.1,1.7,16.2,8.4
Canada,83.1,41.7,-52.6,-141.0
Central African Republic,11.0,2.2,27.4,14.4
Chad,23.5,7.5,24.0,13.4
Chile,-17.5,-56.5,-66.4,-109.5
China,53.6,18.2,134.8,73.5
Colombia,12.5,-4.2,-66.9,-81.9
Comoros,-11.4,-12.4,44.8,43.2
Congo (Brazzaville),3.7,-5.0,18.7,11.1
Congo (Kinshasa),5.4,-13.5,31.3,12.2
Costa Rica,11.2,8.0,-82.6,-85.9
Croatia,46.5,42.4,19.4,13.5
Cuba,23.3,19.8,-74.1,-85.1
Cyprus,35.7,34.6,34.0,32.3
Czechia,51.1,48.6,18.9,12.1
Côte d'Ivoire,10.7,4.3,-2.5,-8.6
Denmark,58.9,54.6,15.2,8.1
Djibouti,12.7,10.9,43.4,41.8
Dominica,15.6,15.0,-61.2,-61.5
Dominican Republic,20.1,17.4,-68.3,-72.0
Ecuador,1.4,-5.0,-75.2,-81.1
Egypt,31.7,22.0,35.8,24.7
El Salvador,14.4,13.1,-87.7,-90.1
Equatorial Guinea,3.8,0.9,11.4,5.6
Eritrea,18.0,12.4,43.1,36.4
Estonia,59.7,57.5,28.2,21.8
Eswatini,-25.7,-27.3,32.1,30.8
Ethiopia,14.9,3.4,47.9,33.0
Fiji,-12.5,-20.2,180.0,177.9
Finland,70.1,59.8,31.6,19.0
France,51.1,41.3,9.7,-5.2
Gabon,2.3,-3.9,14.5,8.7
Gambia,13.8,13.1,-13.8,-16.8
Georgia,43.6,41.0,46.7,39.9
Germany,55.1,47.3,15.0,5.9
Ghana,11.2,4.7,1.2,-3.3
Greece,41.7,34.9,29.7,19.6
Grenada,12.7,11.9,-61.3,-61.8
Guatemala,17.8,13.7,-88.2,-92.3
Guinea,12.7,7.2,-7.6,-14.9
Guinea-Bissau,12.7,10.9,-13.5,-16.7
Guyana,8.6,1.2,-56.5,-61.4
Haiti,20.1,17.9,-71.6,-75.4
Honduras,16.0,12.9,-83.2,-89.4
Hungary,48.6,45.8,22.9,16.1
Iceland,66.5,63.3,-13.5,-24.5
India,35.5,6.7,97.4,68.2
Indonesia,5.6,-11.1,141.0,94.9
Iran,39.8,24.0,63.3,44.0
Iraq,37.4,29.1,48.6,38.8
Ireland,55.4,51.4,-5.9,-10.5
Israel,33.3,29.5,35.9,34.1
Italy,47.1,36.6,18.5,6.6
Jamaica,18.6,17.7,-76.2,-78.4
Japan,45.5,20.2,153.9,122.9
Jordan,33.4,29.2,39.3,34.9
Kazakhstan,55.4,40.0,87.3,46.3
Kenya,4.9,-4.7,41.9,33.9
Kiribati,4.7,-11.4,176.8,169.6
Kuwait,30.1,28.5,48.4,46.5
Kyrgyzstan,43.3,39.2,80.3,69.3
Laos,22.5,13.9,107.6,100.1
Latvia,58.1,55.7,28.2,20.9
Lebanon,34.7,33.1,36.6,35.1
Lesotho,-28.6,-30.7,29.5,27.0
Liberia,8.6,4.3,-7.4,-11.5
Libya,33.2,19.5,25.1,9.3
Liechtenstein,47.2,47.0,9.6,9.5
Lithuania,56.4,53.9,26.8,20.6
Luxembourg,50.2,49.4,6.5,5.7
Madagascar,-11.9,-25.6,50.5,43.2
Malawi,-9.4,-17.1,35.9,32.6
Malaysia,7.3,0.9,119.4,99.6
Maldives,7.3,-0.7,73.8,72.6
Mali,24.0,10.2,4.2,-12.2
Malta,36.1,35.8,14.6,14.2
Marshall Islands,14.6,4.6,172.6,165.5
Mauritania,27.3,14.7,-4.8,-17.1
Mauritius,-10.4,-20.5,63.6,56.3
Mexico,32.7,14.5,-86.7,-118.4
Micronesia,10.1,0.9,163.0,137.5
Moldova,48.5,45.5,30.2,26.6
Monaco,43.8,43.7,7.4,7.3
Mongolia,52.1,41.6,119.9,87.7
Montenegro,43.6,41.9,20.4,18.5
Morocco,35.9,27.7,-0.9,-13.2
Mozambique,-10.4,-26.9,40.8,30.2
Myanmar,28.5,9.8,101.2,92.2
Namibia,-16.9,-28.9,25.3,11.7
Nauru,-0.5,-0.6,166.9,166.8
Nepal,30.4,26.4,88.2,80.0
Netherlands,53.7,50.8,7.2,3.2
New Zealand,-8.0,-52.6,178.8,166.3
Nicaragua,15.0,10.7,-82.7,-87.7
Niger,23.5,11.7,15.1,0.2
Nigeria,13.9,4.3,14.7,2.7
North Korea,43.0,37.7,130.7,124.1
North Macedonia,42.4,40.8,23.0,20.4
Norway,71.2,57.9,31.1,4.6
Oman,26.4,16.6,59.9,51.9
Pakistan,37.1,23.6,77.8,60.9
